TotalCost 1342
Route 1: 1 2 3 4 10 9 3 8 7 2 12 1 | Load 75 | Cost 134
Route 2: 1 5 6 1 7 13 6 12 11 5 19 1 | Load 75 | Cost 127
Route 3: 1 20 19 18 5 26 18 29 26 30 27 34 1 | Load 75 | Cost 127
Route 4: 1 14 8 15 14 22 21 13 16 9 23 1 | Load 73 | Cost 124
Route 5: 1 21 27 31 22 23 24 16 17 10 1 | Load 75 | Cost 145
Route 6: 1 30 34 33 29 39 33 40 34 35 36 1 | Load 74 | Cost 138
Route 7: 1 31 32 24 25 17 28 32 37 31 36 42 1 | Load 74 | Cost 143
Route 8: 1 35 41 40 47 46 33 48 41 42 43 37 45 44 1 | Load 75 | Cost 158
Route 9: 1 36 38 28 38 43 50 44 49 41 1 | Load 70 | Cost 146
Route 10: 1 49 50 45 38 1 | Load 38 | Cost 100
