TotalCost 45076
Route 1: 1 2 14 13 23 24 14 17 4 105 1 | Load 1752 | Cost 2516
Route 2: 1 15 4 6 18 19 7 8 71 1 | Load 1751 | Cost 2337
Route 3: 1 25 26 38 39 29 28 27 47 80 1 | Load 1752 | Cost 2305
Route 4: 1 17 37 36 45 44 43 54 55 99 1 | Load 1757 | Cost 2658
Route 5: 1 20 8 30 31 20 18 22 73 112 1 | Load 1756 | Cost 2766
Route 6: 1 47 48 49 39 31 32 33 11 40 50 69 1 | Load 1750 | Cost 2582
Route 7: 1 55 56 66 65 64 55 57 67 66 78 68 57 1 | Load 1746 | Cost 2346
Route 8: 1 46 57 46 59 49 50 31 22 63 1 | Load 1744 | Cost 2600
Route 9: 1 11 12 11 42 52 62 74 126 94 1 | Load 1737 | Cost 2621
Route 10: 1 59 69 68 106 93 94 81 107 106 1 | Load 1730 | Cost 2449
Route 11: 1 60 72 73 84 85 98 97 96 109 110 98 119 1 | Load 1735 | Cost 2619
Route 12: 1 90 102 101 88 76 88 115 102 1 | Load 1698 | Cost 2426
Route 13: 1 104 103 102 103 105 104 117 116 121 82 1 | Load 1754 | Cost 2632
Route 14: 1 51 61 60 83 94 70 123 1 | Load 1692 | Cost 2625
Route 15: 1 71 82 122 120 124 1 | Load 1748 | Cost 2622
Route 16: 1 53 63 75 87 86 99 1 | Load 1567 | Cost 2339
Route 17: 1 62 74 99 100 99 1 | Load 1576 | Cost 2425
Route 18: 1 120 111 97 123 1 | Load 1362 | Cost 2208
